question,ground_truth
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.4.2.3 state exactly? Answer with only the text of the rule and no other words.,"If used, aluminum wheel nuts must be hard anodized and in pristine condition."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.4.3 state exactly? Answer with only the text of the rule and no other words.,"Tires
Vehicles may have two types of tires, Dry and Wet"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.4.3.1 state exactly? Answer with only the text of the rule and no other words.,"Dry Tires
a. The tires on the vehicle when it is presented for Technical Inspection.
b. May be any size or type, slicks or treaded."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.4.3.2 state exactly? Answer with only the text of the rule and no other words.,"Wet Tires
Any size or type of treaded or grooved tire where:
• The tread pattern or grooves were molded in by the tire manufacturer, or were cut by
the tire manufacturer or appointed agent.
Any grooves that have been cut must have documented proof that this rule was met
• There is a minimum tread depth of 2.4 mm"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.4.3.3 state exactly? Answer with only the text of the rule and no other words.,"Tire Set
a. All four Dry Tires and Wheels or all four Wet Tires and Wheels do not have to be
identical.
b. Once each tire set has been presented for Technical Inspection, any tire compound or
size, or wheel type or size must not be changed."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.4.3.4 state exactly? Answer with only the text of the rule and no other words.,"Tire Pressure
a. Tire Pressure must be in the range allowed by the manufacturer at all times.
b. Tire Pressure may be inspected at any time"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule V.4.3.5 state exactly? Answer with only the text of the rule and no other words.,"Requirements for All Tires
a. Teams must not perform any hand cutting, grooving or modification of the tires.
b. Tire warmers are not allowed.
c. No traction enhancers may be applied to the tires at any time onsite at the competition."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.1 state exactly? Answer with only the text of the rule and no other words.,"Chassis
The fabricated structural assembly that supports all functional vehicle systems.
This assembly may be a single fabricated structure, multiple fabricated structures or a
combination of composite and welded structures."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.2 state exactly? Answer with only the text of the rule and no other words.,"Frame Member
A minimum representative single piece of uncut, continuous tubing."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.3 state exactly? Answer with only the text of the rule and no other words.,"Monocoque
A type of Chassis where loads are supported by the external panels"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.4 state exactly? Answer with only the text of the rule and no other words.,"Main Hoop
A roll bar located alongside or immediately aft of the driver’s torso."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.5 state exactly? Answer with only the text of the rule and no other words.,"Front Hoop
A roll bar located above the driver’s legs, in proximity to the steering wheel."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.6 state exactly? Answer with only the text of the rule and no other words.,"Roll Hoop(s)
Referring to both the Front Hoop AND the Main Hoop"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.7 state exactly? Answer with only the text of the rule and no other words.,"Roll Hoop Bracing Supports
The structure from the lower end of the Roll Hoop Bracing back to the Roll Hoop(s)."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.8 state exactly? Answer with only the text of the rule and no other words.,"Front Bulkhead
A planar structure that provides protection for the driver’s feet."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.9 state exactly? Answer with only the text of the rule and no other words.,"Impact Attenuator
A deformable, energy absorbing device located forward of the Front Bulkhead."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.10 state exactly? Answer with only the text of the rule and no other words.,"Primary Structure
The combination of the following components:
• Front Bulkhead and Front Bulkhead Support
• Front Hoop, Main Hoop, Roll Hoop Braces and Supports
• Side Impact Structure
• (EV Only) Tractive System Protection and Rear Impact Protection
• Any Frame Members, guides, or supports that transfer load from the Driver Restraint
System"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.11 state exactly? Answer with only the text of the rule and no other words.,"Primary Structure Envelope
A volume enclosed by multiple tangent planes, each of which follows the exact outline of the
Primary Structure Frame Members"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.12 state exactly? Answer with only the text of the rule and no other words.,"Major Structure
The portion of the Chassis that lies inside the Primary Structure Envelope, excluding the Main
Hoop Bracing and the portion of the Main Hoop above a horizontal plane located at the top of
the Upper Side Impact Member or top of the Side Impact Zone."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.13 state exactly? Answer with only the text of the rule and no other words.,"Rollover Protection Envelope
The Primary Structure plus a plane from the top of the Main Hoop to the top of the Front
Hoop, plus a plane from the top of the Main Hoop to the rearmost Triangulated structural
tube, or monocoque equivalent.
* If there are no Triangulated Structural members aft of the Main Hoop, the Rollover
Protection Envelope ends at the rear plane of the Main Hoop"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.14 state exactly? Answer with only the text of the rule and no other words.,"Tire Surface Envelope
The volume enclosed by tangent lines between the Main Hoop and the outside edge of each
of the four tires."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.15 state exactly? Answer with only the text of the rule and no other words.,"Component Envelope
The area that is inside a plane from the top of the Main Hoop to the top of the Front
Bulkhead, plus a plane from the top of the Main Hoop to the rearmost Triangulated structural
tube, or monocoque equivalent. * see note in step F.1.13 above"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.16 state exactly? Answer with only the text of the rule and no other words.,"Buckling Modulus (EI)
Equal to E*I, where E = modulus of Elasticity, and I = area moment of inertia about the
weakest axis."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.17 state exactly? Answer with only the text of the rule and no other words.,"Triangulation
An arrangement of Frame Members where all members and segments of members between
bends or nodes with Structural tubes form a structure composed entirely of triangles.
a. This is generally required between an upper member and a lower member, both of
which may have multiple segments requiring a diagonal to form multiple triangles.
b. This is also what is meant by “properly triangulated”."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.1.18 state exactly? Answer with only the text of the rule and no other words.,"Nonflammable Material
Metal or a Non Metallic material which meets UL94-V0, FAR25 or approved equivalent"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.2.1 state exactly? Answer with only the text of the rule and no other words.,Structural Equivalency Spreadsheet - SES
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.2.1.1 state exactly? Answer with only the text of the rule and no other words.,"The SES is a supplement to the Formula SAE Rules and may provide guidance or further details
in addition to those of the Formula SAE Rules."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.2.1.2 state exactly? Answer with only the text of the rule and no other words.,"The SES provides the means to:
a. Document the Primary Structure and show compliance with the Formula SAE Rules
b. Determine Equivalence to Formula SAE Rules using an accepted basis"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.2.2.1 state exactly? Answer with only the text of the rule and no other words.,"All teams must submit a Structural Equivalency Spreadsheet (SES) as given in section DR -
Document Requirements"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.2.3.1 state exactly? Answer with only the text of the rule and no other words.,"Equivalency in the structural context is determined and documented with the methods in the
SES"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.2.3.2 state exactly? Answer with only the text of the rule and no other words.,"Any Equivalency calculations must prove Equivalency relative to Steel Tubing in the same
application"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.2.3.3 state exactly? Answer with only the text of the rule and no other words.,"The properties of tubes and laminates may be combined to prove Equivalence.
For example, in a Side Impact Structure consisting of one tube per F.3.2.1.e and a laminate
panel, the panel only needs to be Equivalent to two Side Impact Tubes."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.2.4 state exactly? Answer with only the text of the rule and no other words.,"Tolerance
Tolerance on dimensions given in the rules is allowed and is addressed in the SES."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.2.5 state exactly? Answer with only the text of the rule and no other words.,"Fabrication
Vehicles must be fabricated in accordance with the design, materials, and processes described
in the SES."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.3.1 state exactly? Answer with only the text of the rule and no other words.,"Dimensions
Diameter and Wall Thickness values provided in this Section F.3 are based on dimensions for
commonly available tubing."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.3.3.1 state exactly? Answer with only the text of the rule and no other words.,"Definition
Any tubing which does NOT meet F.3.2.1.o Structural Tubing"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.3.3.2 state exactly? Answer with only the text of the rule and no other words.,"Applicability
Non Structural Tubing is ignored when assessing compliance to any rule"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.3.4.2 state exactly? Answer with only the text of the rule and no other words.,"Properties for ANY steel material for calculations submitted in an SES must be:
a. Non Welded Properties for continuous material calculations:
Young’s Modulus (E) = 200 GPa (29,000 ksi)
Yield Strength (Sy) = 305 MPa (44.2 ksi)
Ultimate Strength (Su) = 365 MPa (52.9 ksi)
b. Welded Properties for discontinuous material such as joint calculations:
Yield Strength (Sy) = 180 MPa (26 ksi)
Ultimate Strength (Su) = 300 MPa (43.5 ksi)"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.3.4.3 state exactly? Answer with only the text of the rule and no other words.,"Where Welded tubing reinforcements are required (such as inserts for bolt holes or material
to support suspension cutouts), Equivalence of the Welded tube and reinforcement must be
shown to the original Non Welded tube in the SES"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.3.5.1 state exactly? Answer with only the text of the rule and no other words.,Alternative Materials may be used for applications shown as permitted in F.3.2.1
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.3.5.2 state exactly? Answer with only the text of the rule and no other words.,"If any Alternative Materials are used, the SES must contain:
a. Documentation of material type, (purchase receipt, shipping document or letter of
donation) and the material properties.
b. Calculations that show equivalent to or better than the minimum requirements for steel
tubing in the application as listed in F.3.4.1 for yield and ultimate strengths matching the
Non Welded Steel properties from F.3.4.2.a above in bending, buckling and tension, for
buckling modulus and for energy dissipation
c. Details of the manufacturing technique and process"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.3.5.3 state exactly? Answer with only the text of the rule and no other words.,"Aluminum Tubing
a. Minimum Wall Thickness for Aluminum Tubing: Non Welded 2.0 mm
Welded 3.0 mm
b. Non Welded properties for aluminum alloy 6061-T6 for calculations in an SES must be:
Young’s Modulus (E) 69 GPa (10,000 ksi)
Yield Strength (Sy) 240 MPa (34.8 ksi)
Ultimate Strength (Su) 290 MPa (42.1 ksi)
c. Welded properties for aluminum alloy 6061-T6 for calculations in an SES must be:
Yield Strength (Sy) 115 MPa (16.7 ksi)
Ultimate Strength (Su) 175 MPa (25.4 ksi)
d. If welding is used on a regulated aluminum structure, the equivalent yield strength must
be considered in the “as welded” condition for the alloy used unless the team provides
detailed proof that the frame or component has been properly solution heat treated,
artificially aged, and not subject to heating during team manufacturing.
e. If aluminum was solution heat treated and age hardened to increase its strength after
welding, the team must supply evidence as to how the process was performed.
This includes, but is not limited to, the heat treating facility used, the process applied,
and the fixturing used."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.4.1 state exactly? Answer with only the text of the rule and no other words.,"Requirements
If any composite or other material is used, the SES must contain:"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.4.1.1 state exactly? Answer with only the text of the rule and no other words.,"Documentation of material type, (purchase receipt, shipping document or letter of donation)
and the material properties."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.4.1.2 state exactly? Answer with only the text of the rule and no other words.,"Details of the manufacturing technique and/or composite layup technique as well as the
structural material used (examples - cloth type, weight, and resin type, number of layers, core
material, and skin material if metal)."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.4.1.3 state exactly? Answer with only the text of the rule and no other words.,"Calculations that show equivalence of the structure to one of similar geometry made to meet
the minimum requirements for a structure made from steel tubing per F.3.2. Equivalency
calculations must be submitted for energy dissipation, yield and ultimate strengths in bending,
buckling, and tension."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.4.1.4 state exactly? Answer with only the text of the rule and no other words.,"Construction dates of the test panel(s) and monocoque, and approximate age(s) of the
materials used.
The intent is for the test panel to use the same material batch, material age, material storage,
and student layup quality as the monocoque."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.4.2 state exactly? Answer with only the text of the rule and no other words.,"Quasi-Isotropic Layup
A layup with equal fiber strength and stiffness along any orientation in the plane of the layup.
a. When a layup has equal fiber properties and mass in the 0/90/+45/-45 directions, the
layup may be considered Quasi-Isotropic"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.4.3.1 state exactly? Answer with only the text of the rule and no other words.,"Testing Requirements
a. Any tested samples must be engraved with the construction date, sample name, and
peak test force.
b. The same set of test results must not be used for different monocoques in different
years.
The intent is for the test panel to use the same material batch, material age, material storage,
and student layup quality as the monocoque."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.4.3.2 state exactly? Answer with only the text of the rule and no other words.,"Primary Structure Laminate Testing
Teams must build new representative test panels for each ply schedule used in the regulated
regions of the new chassis as a flat panel and perform a 3 point bending test on these panels.
Refer to F.4.3.4
a. Test panels must:
• Measure one of the two options: 138 mm x 500 mm OR 275 mm x 500 mm
• Be supported by a span distance of 400 mm
• Have equal surface area for the top and bottom skin
• Have bare edges, without skin material
b. The SES must include:
• Data from the 3 point bending tests
• Pictures of the test samples
• A picture of the test sample and test setup showing a measurement documenting
the supported span distance used in the SES
c. Test panel results must be used to derive stiffness, yield strength, ultimate strength and
absorbed energy properties by the SES formula and limits for the purpose of calculating
laminate panels equivalency corresponding to Primary Structure regions of the chassis.
d. Test panels must use the thickest core associated with each skin layup.
Designs may use core thickness that is 50% - 100% of the test panel core thickness
associated with each skin layup.
e. Calculation of derived properties must use the part of test data where deflection is 50
mm or less
f. Calculation of absorbed energy must use the integral of force times displacement"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.4.3.3 state exactly? Answer with only the text of the rule and no other words.,"Comparison Test
Teams must make an equivalent test that will determine any compliance in the test rig and
establish an absorbed energy value of the baseline tubes.
a. The comparison test must use two Side Impact steel tubes (F.3.2.1.e)
b. The steel tubes must be tested to a minimum displacement of 19.0 mm
c. The calculation of absorbed energy must use the integral of force times displacement
from the initiation of load to a displacement of 19.0 mm"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.4.3.4 state exactly? Answer with only the text of the rule and no other words.,"Test Conduct
a. The Laminate test F.4.3.2 and the Comparison test F.4.3.2e must use the same fixture
b. The load applicator used to test any panel/tubes as required in this section F.4.3 must
be:
• Metallic
• Radius 50 mm
c. The load applicator must overhang the test piece to prevent edge loading
d. Any other material must not be placed between the load applicator and the items on test"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.4.3.5 state exactly? Answer with only the text of the rule and no other words.,"Perimeter Shear Test
a. The Perimeter Shear Test must be completed by measuring the force required to push or
pull a 25 mm diameter flat punch through a flat laminate sample.
b. The sample must:
• Measure 100 mm x 100 mm minimum
• Have core and skin thicknesses identical to those used in the actual application
• Be manufactured using the same materials and processes
c. The fixture must support the entire sample, except for a 32 mm hole aligned coaxially
with the punch.
d. The sample must not be clamped to the fixture
e. The edge of the punch and hole in the fixture may include an optional fillet up to a
maximum radius of 1 mm.
f. The SES must include force and displacement data and photos of the test setup.
g. The first peak in the load-deflection curve must be used to determine the skin shear
strength; this may be less than the minimum force required by F.7.3.3 / F.7.5.5
h. The maximum force recorded must meet the requirements of F.7.3.3 / F.7.5.5"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.4.3.6 state exactly? Answer with only the text of the rule and no other words.,"Additional Testing
When a laminate schedule(s) are NOT a Quasi-Isotropic Layup (F.4.2):
a. Results from the 3 point bending test will be assigned to the 0 layup direction.
b. The monocoque must have the tested layup direction normal to the cross sections used
for Equivalence in the SES, with allowance for taper of the monocoque normal to the
cross section.
c. All material properties in the weakest direction must be 50% or more of those in the
strongest direction as calculated by the SES."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.4.3.7 state exactly? Answer with only the text of the rule and no other words.,"Lap Joint Test
The Lap Joint Test measures the force required to pull apart a joint comprised of two laminate
samples that are bonded together.
a. Do two separate pull tests with different orientations of the adhesive joint:
• Parallel to the pull direction, with the adhesive joint in pure shear
• T peel normal to the pull direction, with the adhesive joint in peel
b. The samples used must:
• Have skin thicknesses identical to those used in the actual monocoque
• Be manufactured using the same materials and processes
• Have the same overlap as used in the regulated structure. No scaling is permitted.
c. The force and displacement data and photos of the test setup must be included in the
SES.
d. The shear strength of the bond must be more than the UTS of the skin"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.4.4.1 state exactly? Answer with only the text of the rule and no other words.,"When specified, the Equivalence of the chassis must be calculated as a flat panel with the
same composition as the chassis about the neutral axis of the laminate."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.4.4.2 state exactly? Answer with only the text of the rule and no other words.,"The curvature of the panel and geometric cross section of the chassis must be ignored for
these calculations."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.4.4.3 state exactly? Answer with only the text of the rule and no other words.,"Calculations of Equivalence that do not reference this section F.4.4 may use the actual
geometry of the chassis."
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.5 state exactly? Answer with only the text of the rule and no other words.,"CHASSIS REQUIREMENTS
This section applies to all Chassis, regardless of material or construction"
We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule F.5.1.1 state exactly? Answer with only the text of the rule and no other words.,"The Primary Structure must be constructed from one or a combination of the following:
• Steel Tubing and Material F.3.2 F.3.4
• Alternative Tubing Materials F.3.2 F.3.5
• Composite Material F.4"
