image_name,rule_tested,complies,dimension_system,view,cad_model,context_im,context_im_detailed,additional_info,additional_info_context,explanation
T.5.2.7_b_no,T.5.2.7b,no,direct,bottom,powertrain,2,9,The scattershield is made from steel and the chain (not pictured) is 13 mm wide.,"In the CAD views, the scattershield is highlighted in pink.",The design is not compliant. We are told the chain is 13 mm wide and the scatter shield must be at least 3x as wide. The drawing shows the dimension of the width of the scatter shield is 38 mm which is less than 3*13mm.
powertrain_bottom_scale,T.5.2.7b,yes,scale,bottom,powertrain,2,9,The scattershield is made from steel and the chain (not pictured) is 13 mm wide.,"In the CAD views, the scattershield is highlighted in pink.",
T.8.2.4_yes,T.8.2.4,yes,direct,left,rear wheel package,3,11,The fastener shown in the section view in the engineering drawing is the critical fastener. It has 1 thread/mm.,"In the CAD views, the fastner highlighted in pink is the critical fastener.",The rules require a minimum of 3 threads showing for critical fasteners. Since there is 1 thread per millimeter and we have a extended bolt length of over 3mm we are rules compliant.
T.8.2.4_no,T.8.2.4,no,direct,left,rear wheel package,3,11,The fastener shown in the section view in the engineering drawing is the critical fastener. It has 1 thread/mm.,"In the CAD views, the fastner highlighted in pink is the critical fastener.",This is not compliant with the rules since this critical fastener only has one thread showing and the rules require a minimum of 3 threads.
T.8.2.4_scale,T.8.2.4,yes,scale,left,rear wheel package,3,11,The fastener shown in the section view in the engineering drawing is the critical fastener. It has 1 thread/mm.,"In the CAD views, the fastner highlighted in pink is the critical fastener.",
T.7.5_a_yes,T.7.5.a,yes,direct,left,vehicle,4,12,,"In the CAD views, the relevant aerodynamic devices are highlighted in pink.","The rule states that no part of any aerodynamic device can be more than 700 mm forward of the fronts of the front tires. In the drawing, the front of the front wing is 696.21 mm (less than 700 mm) in front of the fronts of the front tires. Therefore, this design is rule compliant. "
T.7.5_a_no,T.7.5.a,no,direct,left,vehicle,4,12,,"In the CAD views, the relevant aerodynamic devices are highlighted in pink.","The rule states that no part of any aerodynamic device can be more than 700 mm forward of the fronts of the front tires. In the drawing, the front of the front wing is 705.28 mm (less than 700 mm) in front of the fronts of the front tires. Therefore, this design is rule compliant. "
aero_left,T.7.5.a,yes,scale,left,vehicle,4,12,,"In the CAD views, the relevant aerodynamic devices are highlighted in pink.",
T.7.5_b_yes,T.7.5.b,yes,direct,left,vehicle,4,12,,"In the CAD views, the relevant aerodynamic devices are highlighted in pink.",T.7.5.b says no part of the rear aero can be more than 250 mm behind the rear of the rear tires. The drawing shows the rear wing is 245 mm behind the rear tires.
T.7.5_b_no,T.7.5.b,no,direct,left,vehicle,4,12,,"In the CAD views, the relevant aerodynamic devices are highlighted in pink.",T.7.5.b says no part of the rear aero can be more than 250 mm behind the rear of the rear tires. The drawing shows the rear wing is 261 mm behind the rear tires.
aero_left,T.7.5.b,yes,scale,left,vehicle,4,12,,"In the CAD views, the relevant aerodynamic devices are highlighted in pink.",
T.7.6.1_yes,T.7.6.1,yes,direct,front,vehicle,4,12,,"In the CAD views, the relevant aerodynamic devices are highlighted in pink.",T.7.6.1 says the aero bodywork in front of the front wheel axis must be within the outside of the front tires. The drawing shows the whole front wing is within the outside of the tires.
T.7.6.1_no,T.7.6.1,no,direct,front,vehicle,5,13,,"In the CAD views, the relevant aerodynamic devices are highlighted in pink.",T.7.6.1 says the aero bodywork in front of the front wheel axis must be within the outside of the front tires. The drawing shows part of the front wing is outside of the tires.
aero_front_scale,T.7.6.1,yes,scale,front,vehicle,4,12,,"In the CAD views, the relevant aerodynamic devices are highlighted in pink.",
T.7.6.3_yes,T.7.6.3 (which refers to T.7.3.3),yes,direct,back,vehicle,4,12,,"In the CAD views, the relevant aerodynamic devices are highlighted in pink.","T.7.6.3 says that aero bodywork behind the rear wheel axis must be within the Rear Aerodynamic Zone, defined as behind the driver headrest and within the inside of the tires. The drawing shows the entire rear wing is within the defined space."
T.7.6.3_no,T.7.6.3 (which refers to T.7.3.3),no,direct,back,vehicle,6,14,,"In the CAD views, the relevant aerodynamic devices are highlighted in pink.","T.7.6.3 says that aero bodywork behind the rear wheel axis must be within the Rear Aerodynamic Zone, defined as behind the driver headrest and within the inside of the tires. The drawing shows part of the rear wing is outside of the tires."
aero_back_scale,T.7.6.3,yes,scale,back,vehicle,4,12,,"In the CAD views, the relevant aerodynamic devices are highlighted in pink.",
T.7.7.1_a_yes,T.7.7.1a,yes,direct,left,vehicle,4,12,,"In the CAD views, the relevant aerodynamic devices are highlighted in pink.","T.7.7.1a says any part of the rear aero can't be more than 1200 mm above the ground, the highest part of the rear wing in the drawing is 1195.27 mm above the ground."
T.7.7.1_a_no,T.7.7.1a,no,direct,left,vehicle,4,12,,"In the CAD views, the relevant aerodynamic devices are highlighted in pink.","T.7.7.1a says any part of the rear aero can't be more than 1200 mm above the ground, the highest part of the rear wing in the drawing is 1404.51 mm above the ground."
aero_left,T.7.7.1a,yes,scale,left,vehicle,4,12,,"In the CAD views, the relevant aerodynamic devices are highlighted in pink.",
