question,answer,image,dimension_type
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.5.9.5 specified in the FSAE rule document? To answer the question, use the scale bar shown at the top of the engineering drawing to compute necessary dimensions in the drawing.  Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,F.5.9.5c.jpg,scale
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.6.3.4 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",no,F.6.3.4b.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.6.3.4 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,F.6.3.4a.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.6.3.4 specified in the FSAE rule document? To answer the question, use the scale bar shown at the top of the engineering drawing to compute necessary dimensions in the drawing.  Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,F.6.3.4c.jpg,scale
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.3.2.1a specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,F.3.2.1aa.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.3.2.1a specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",no,F.3.2.1ab.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.3.2.1a specified in the FSAE rule document? To answer the question, use the scale bar shown at the top of the engineering drawing to compute necessary dimensions in the drawing.  Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,F.3.2.1ac.jpg,scale
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.6.4.4b specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,F.6.4.4ba.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.6.4.4b specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",no,F.6.4.4bb.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.6.4.4b specified in the FSAE rule document? To answer the question, use the scale bar shown at the top of the engineering drawing to compute necessary dimensions in the drawing.  Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,F.6.4.4bc.jpg,scale
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.3.2.1h specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,F.3.2.1ha.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.3.2.1h specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",no,F.3.2.1hb.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.3.2.1h specified in the FSAE rule document? To answer the question, use the scale bar shown at the top of the engineering drawing to compute necessary dimensions in the drawing.  Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,F.3.2.1hc.jpg,scale
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the powertrain on the top accompanied by six CAD views of the powertrain on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. The scattershield is made from steel. Based on the engineering drawing, does our design comply with rule T.5.2.7a specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,T.5.2.7aa.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the powertrain on the top accompanied by six CAD views of the powertrain on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. The scattershield is made from steel. Based on the engineering drawing, does our design comply with rule T.5.2.7a specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",no,T.5.2.7ab.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the powertrain on the top accompanied by six CAD views of the powertrain on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. The scattershield is made from steel. Based on the engineering drawing, does our design comply with rule T.5.2.7a specified in the FSAE rule document? To answer the question, use the scale bar shown at the top of the engineering drawing to compute necessary dimensions in the drawing.  Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,T.5.2.7ac.jpg,scale
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the powertrain on the top accompanied by six CAD views of the powertrain on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. The scattershield is made from steel and assume the chain (not pictured) is centered on the gears. Based on the engineering drawing, does our design comply with rule T.5.2.7c specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,T.5.2.7ca.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the powertrain on the top accompanied by six CAD views of the powertrain on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. The scattershield is made from steel and assume the chain (not pictured) is centered on the gears. Based on the engineering drawing, does our design comply with rule T.5.2.7c specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",no,T.5.2.7cb.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the powertrain on the top accompanied by six CAD views of the powertrain on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. The scattershield is made from steel and assume the chain (not pictured) is centered on the gears. Based on the engineering drawing, does our design comply with rule T.5.2.7c specified in the FSAE rule document? To answer the question, use the scale bar shown at the top of the engineering drawing to compute necessary dimensions in the drawing.  Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,T.5.2.7cc.jpg,scale
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the powertrain on the top accompanied by six CAD views of the powertrain on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. The scattershield is made from steel and the chain (not pictured) is 13 mm wide. Based on the engineering drawing, does our design comply with rule T.5.2.7b specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,T.5.2.7ba.jpg,direct
