,rule_num,rule_text
34,IC.3.3.1,"The throttle cable or rod must:
a. Have smooth operation
b. Have no possibility of binding or sticking
c. Be minimum 50 mm from any exhaust system component and out of the exhaust stream
d. Be protected from being bent or kinked by the driver’s foot when it is operated by the
driver or when the driver enters or exits the vehicle"
35,IC.3.3.2,"The throttle actuation system must use two or more return springs located at the throttle
body.
Throttle Position Sensors (TPS) are NOT acceptable as return springs"
36,IC.3.3.3,"Failure of any component of the throttle system must not prevent the throttle returning to
the closed position."
37,IC.4,"ELECTRONIC THROTTLE CONTROL
This section IC.4 applies only when Electronic Throttle Control is used
An Electronic Throttle Control (ETC) system may be used. This is a device or system which
may change the engine throttle setting based on various inputs."
38,IC.4.1,General Design
39,IC.4.1.1,The electronic throttle must automatically close (return to idle) when power is removed.
40,IC.4.1.2,"The electronic throttle must use minimum two sources of energy capable of returning the
throttle to the idle position.
a. One of the sources may be the device (such as a DC motor) that normally actuates the
throttle
b. The other device(s) must be a throttle return spring that can return the throttle to the
idle position if loss of actuator power occurs.
c. Springs in the TPS are not acceptable throttle return springs"
41,IC.4.1.3,"The ETC system may blip the throttle during downshifts when proven that unintended
acceleration can be avoided. The functional analysis must be documented in the ETC Systems
Form"
42,IC.4.2,Commercial ETC System
43,IC.4.2.1,"An ETC system that is commercially available, but does not comply with the regulations, may
be used, if approved prior to the event."
44,IC.4.2.2,"To obtain approval, submit a Rules Question which includes:
• Which ETC system the team is seeking approval to use.
• The specific ETC rule(s) that the commercial system deviates from.
• Sufficient technical details of these deviations to determine the acceptability of the
commercial system."
45,IC.4.3,Documentation
46,IC.4.3.1,"The ETC Notice of Intent:
• Must be submitted to inform the organizer of the intent to run ETC
• May be used to screen which teams are allowed to use ETC"
47,IC.4.3.2,The ETC Systems Form must be submitted in order to use ETC
48,IC.4.3.3,"Submit the ETC Notice of Intent and ETC Systems Form as given in section DR - Document
Requirements"
49,IC.4.3.4,"Late or non submission will prevent use of ETC, see DR.3.4.1"
50,IC.4.4,Throttle Position Sensor - TPS
51,IC.4.4.1,"The TPS must measure the position of the throttle or the throttle actuator.
Throttle position is defined as percent of travel from fully closed to wide open where 0% is
fully closed and 100% is fully open."
52,IC.4.4.2,"Two or more separate sensors must be used as TPSs. The TPSs may share the same supply and
reference lines only if effects of supply and/or reference line voltage offsets can be detected."
53,IC.4.4.3,"Implausibility is defined as a deviation of more than 10% throttle position between the
sensors or other failure as defined in Section IC.4. Use of values larger than 10% may be
considered on a case by case basis and require justification in the ETC Systems Form"
54,IC.4.4.4,"If an Implausibility occurs between the values of the two TPSs and persists for more than 100
msec, the power to the electronic throttle must be immediately shut down."
55,IC.4.4.5,"If three sensors are used, then in the case of a TPS failure, any two TPSs that agree within 10%
throttle position may be used to define the throttle position target and the 3rd TPS may be
ignored."
56,IC.4.4.6,"Each TPS must be able to be checked during Technical Inspection by having one of:
a. A separate detachable connector(s) for any TPS signal(s) to the main ECU without
affecting any other connections
b. An inline switchable breakout box available that allows disconnection of each TPS
signal(s) to the main ECU without affecting any other connections"
57,IC.4.4.7,"The TPS signals must be sent directly to the throttle controller using an analogue signal or via
a digital data transmission bus such as CAN or FlexRay. Any failure of the TPSs or TPS wiring
must be detectable by the controller and must be treated like Implausibility."
58,IC.4.4.8,"When an analogue signal is used, the TPSs will be considered to have failed when they achieve
an open circuit or short circuit condition which generates a signal outside of the normal
operating range, for example <0.5 V or >4.5 V.
The circuitry used to evaluate the sensor must use pull down or pull up resistors to ensure
that open circuit signals result in a failure being detected."
59,IC.4.4.9,"When any kind of digital data transmission is used to transmit the TPS signal,
a. The ETC Systems Form must contain a detailed description of all the potential failure
modes that can occur, the strategy that is used to detect these failures and the tests that
have been conducted to prove that the detection strategy works.
b. The failures to be considered must include but are not limited to the failure of the TPS,
TPS signals being out of range, corruption of the message and loss of messages and the
associated time outs."
60,IC.4.5,"Accelerator Pedal Position Sensor - APPS
Refer to T.4.2 for specific requirements of the APPS"
61,IC.4.6,"Brake System Encoder - BSE
Refer to T.4.3 for specific requirements of the BSE"
62,IC.4.7,Throttle Plausibility Checks
63,IC.4.7.1,"Brakes and Throttle Position
a. The power to the electronic throttle must be shut down if the mechanical brakes are
actuated and the TPS signals that the throttle is open by more than a permitted amount
for more than one second.
b. An interval of one second is allowed for the throttle to close (return to idle). Failure to
achieve this in the required interval must result in immediate shut down of fuel flow and
the ignition system.
c. The permitted relationship between BSE and TPS may be defined by the team using a
table. This functionality must be demonstrated at Technical Inspection."
64,IC.4.7.2,"Throttle Position vs Target
a. The power to the electronic throttle must be immediately shut down, if throttle position
differs by more than 10% from the expected target TPS position for more than one
second.
b. An interval of one second is allowed for the difference to reduce to less than 10%, failure
to achieve this in the required interval must result in immediate shut down of fuel flow
and the ignition system.
c. An error in TPS position and the resultant system shutdown must be demonstrated at
Technical Inspection.
Teams must have a method to demonstrate that the actions in IC.4.7.2.b above are met.
System states displayed using calibration software must be accompanied by a detailed
explanation of the control system."
65,IC.4.7.3,"The electronic throttle and fuel injector/ignition system shutdown must stay active until the
TPS signals indicate the throttle is at or below the unpowered default position for one second
or longer."
66,IC.4.8,Brake System Plausibility Device - BSPD
67,IC.4.8.1,"A standalone nonprogrammable circuit must be used to monitor the electronic throttle
control.
The BSPD must be provided in addition to the Throttle Plausibility Checks IC.4.7"
68,IC.4.8.2,"Signals from any sensors must be sent directly to the BSPD. Outputs from other modules may
not be used in place of the raw sensor signals."
69,IC.4.8.3,"The BSPD must monitor for the following conditions:
a. Both of the following for more than one second:
• Demand for Hard Braking IC.4.6
• Throttle more than 10% open IC.4.4
b. Loss of signal from the braking sensor(s) for more than 100 msec
c. Loss of signal from the throttle sensor(s) for more than 100 msec
d. Removal of power from the BSPD circuit"
70,IC.4.8.4,"When any of the above conditions exist, the BSPD must Open the Shutdown Circuit IC.9.2.2"
71,IC.4.8.5,The BSPD must only be reset by cycling the Primary Master Switch IC.9.3 OFF and ON
72,IC.4.8.6,The BSPD must not reset when the Cockpit Main Switch IC.9.4 is turned OFF
73,IC.4.8.7,"The BSPD signals and function must be able to be checked during Technical Inspection by
having one of:
a. A separate set of detachable connectors for any signals from the braking sensor(s),
throttle sensor(s) and removal of power to only the BSPD device.
b. An inline switchable breakout box available that allows disconnection of the brake
sensor(s), throttle sensor(s) individually and power to only the BSPD device."
74,IC.5,FUEL AND FUEL SYSTEM
75,IC.5.1,Fuel
76,IC.5.1.1,Vehicles must be operated with the fuels provided by the organizer at the competition.
77,IC.5.1.2,"Fuels provided are expected to be Gasoline and E85. Consult the individual competition
websites for fuel specifics and other information."
78,IC.5.1.3,No agents other than the provided fuel and air may go into the combustion chamber.
79,IC.5.2,Fuel System
80,IC.5.2.1,"The Fuel System must meet the following design criteria:
a. The Fuel Tank is capable of being filled to capacity without manipulating the tank or the
vehicle in any manner.
b. During refueling on a level surface, the formation of air cavities or other effects that
cause the fuel level observed at the sight tube to drop after movement or operation of
the vehicle (other than due to consumption) are prevented.
c. Spillage during refueling cannot contact the driver position, exhaust system, hot engine
parts, or the ignition system."
81,IC.5.2.2,The Fuel System location must meet IC.1.2 and F.9
82,IC.5.2.3,"A Firewall must separate the Fuel Tank from the driver, per T.1.8"
83,IC.5.3,"Fuel Tank
The part(s) of the fuel containment device that is in contact with the fuel."
84,IC.5.3.1,"Fuel Tanks made of a rigid material must:
a. Be securely attached to the vehicle structure. The mounting method must not allow
chassis flex to load the Fuel Tank.
b. Not be used to carry any structural loads; from Roll Hoops, suspension, engine or
gearbox mounts"
85,IC.5.3.2,"Any Fuel Tank that is made from a flexible material, for example a bladder fuel cell or a bag
tank:
a. Must be enclosed inside a rigid fuel tank container which is securely attached to the
vehicle structure.
b. The Fuel Tank container may be load carrying"
86,IC.5.3.3,Any size Fuel Tank may be used.
87,IC.5.3.4,"The Fuel Tank, by design, must not have a variable capacity."
88,IC.5.3.5,The Fuel System must have a provision for emptying the Fuel Tank if required.
89,IC.5.4,Fuel Filler Neck & Sight Tube
90,IC.5.4.1,"All Fuel Tanks must have a Fuel Filler Neck which must be:
a. Minimum 35 mm inner diameter at any point between the Fuel Tank and the Fuel Filler
cap"
91,IC.5.4.2,"The portion of the Fuel Filler Neck nearest to the Fuel Filler cap must be:
a. Minimum 125 mm vertical height above the top level of the Fuel Tank
b. Angled no more than 30° from the vertical"
92,IC.5.4.3,"The Fuel Filler Neck must be accompanied by a clear fuel resistant sight tube for reading the
fuel level which must be:
a. Visible vertical height: 125 mm minimum
b. Inside diameter: 6 mm minimum
c. Above the top surface of the Fuel Tank"
93,IC.5.4.4,"A clear Fuel Filler Neck tube may be used as a sight tube, subject to approval by a Rules
Question or technical inspectors at the event.
Vertical Angled
Filler Neck Filler Neck
Sight Tube
ø35 mm min clear
ø35 mm min clear"
94,IC.5.4.5,"Fuel Level Line - A permanent, non movable fuel level line must be located between 12 mm
and 25 mm below the top of the visible portion of the sight tube.
nim
mm
521
nim
mm
521
This line will be used as the fill line for the Tilt Test, and before and after Endurance to measure
the amount of fuel used during the Endurance Event."
95,IC.5.4.6,"The sight tube and fuel level line must be clearly visible to two individuals (one to fill the tank,
the other to visually verify fill) without the need of assistance (artificial lighting, magnifiers,
etc) or the need to remove any parts (body panels, etc)."
96,IC.5.4.7,"The individual filling the tank must have complete direct access to the filler neck opening with
a standard two gallon gas can assembly.
The gas can is minimum 25 cm wide x 25 cm deep x 35 cm high, with a 25 cm spout at the top"
97,IC.5.4.8,"The filler neck must have a fuel cap that can withstand severe vibrations or high pressures
such as could occur during a vehicle rollover event"
98,IC.5.5,Fuel Tank Filling
99,IC.5.5.1,Fueling / Refueling policies and procedures are at the discretion of the fuel crew and officials.
100,IC.5.5.2,"The tank will be filled to the fill line, or if a filling system is used, to the automatic stop point."
101,IC.5.5.3,"If, for any reason, the fuel level changes after the team have moved the vehicle, then no
additional fuel will be added, unless fueling after Endurance, see D.13.2.5"
102,IC.5.6,Venting Systems
103,IC.5.6.1,"Venting systems for the fuel tank and fuel delivery system must not allow fuel to spill during
hard cornering or acceleration."
104,IC.5.6.2,All fuel vent lines must have a check valve to prevent fuel leakage when the tank is inverted.
105,IC.5.6.3,All fuel vent lines must exit outside the bodywork.
106,IC.5.7,Fuel Lines
107,IC.5.7.1,Fuel lines must be securely attached to the vehicle and/or engine.
108,IC.5.7.2,All fuel lines must be shielded from possible rotating equipment failure or collision damage.
109,IC.5.7.3,Plastic fuel lines between the fuel tank and the engine (supply and return) are prohibited.
110,IC.5.7.4,"Any rubber fuel line or hose used must meet the following:
a. The components over which the hose is clamped must have annular bulb or barbed
fittings to retain the hose
b. Clamps specifically designed for fuel lines must be used.
These clamps have three features: a full 360° wrap, a nut and bolt system for tightening,
and rolled edges to prevent the clamp cutting into the hose"
111,IC.5.7.5,Worm gear type hose clamps must not be used on any fuel line.
112,IC.6,FUEL INJECTION
113,IC.6.1,"Low Pressure Injection (LPI)
Low Pressure fuel injection systems are those functioning at a pressure below 10 Bar. Most
Port Fuel Injected (PFI) fuel systems are low pressure."
114,IC.6.1.1,"Any Low Pressure flexible fuel lines must be one of:
• Metal braided hose with threaded fittings (crimped on or reusable)
• Reinforced rubber hose with some form of abrasion resistant protection"
115,IC.6.1.2,"Fuel rail and mounting requirements:
a. Unmodified OEM Fuel Rails are acceptable, regardless of material.
b. Non OEM fuel rails made from plastic, carbon fiber or rapid prototyping flammable
materials are prohibited.
c. The fuel rail must be securely attached to the manifold, engine block or cylinder head
with brackets and mechanical fasteners.
Hose clamps, plastic ties, or safety wires do not meet this requirement.
d. Threaded fasteners used to secure the fuel rail are Critical Fasteners, see T.8.2"
116,IC.6.2,High Pressure Injection (HPI) / Direct Injection (DI)
117,IC.6.2.1,"Definitions
a. High Pressure fuel systems - those functioning at 10 Bar pressure or above
b. Direct Injection fuel systems - where the injection occurs directly into the combustion
system
Direct Injection systems often utilize a low pressure electric fuel pump and high pressure
mechanical “boost” pump driven off the engine.
c. High Pressure Fuel Lines - those between the boost pump and injectors
d. Low Pressure Fuel Lines - from the electric supply pump to the boost pump"
118,IC.6.2.2,"All High Pressure Fuel Lines must:
a. Be stainless steel rigid line or Aeroquip FC807 smooth bore PTFE hose with stainless steel
reinforcement and visible Nomex tracer yarn. Equivalent products may be used with
prior approval.
b. Not incorporate elastomeric seals
c. Be rigidly connected every 100 mm by mechanical fasteners to structural engine
components such as cylinder heads or block"
119,IC.6.2.3,"Any Low Pressure flexible Fuel Lines must be one of:
• Metal braided hose with threaded fittings (crimped on or reusable)
• Reinforced rubber hose with some form of abrasion resistant protection"
120,IC.6.2.4,"Fuel rail mounting requirements:
a. The fuel rail must be securely attached to the engine block or cylinder head with brackets
and mechanical fasteners. Hose clamps, plastic ties, or safety wires do not meet this
requirement.
b. The fastening method must be sufficient to hold the fuel rail in place with the maximum
regulated pressure acting on the injector internals and neglecting any assistance from
cylinder pressure acting on the injector tip.
c. Threaded fasteners used to secure the fuel rail are Critical Fasteners, see T.8.2"
121,IC.6.2.5,"High Pressure Fuel Pump – must be rigidly mounted to structural engine components such as
the cylinder head or engine block."
122,IC.6.2.6,"Pressure Regulator – must be fitted between the High Pressure and Low Pressure sides of the
fuel system in parallel with the DI boost pump. The external regulator must be used even if
the DI boost pump comes equipped with an internal regulator."
123,IC.7,EXHAUST AND NOISE CONTROL
124,IC.7.1,Exhaust Protection
125,IC.7.1.1,"The exhaust system must be separated from any of the following components by means given
in T.1.6.3:
a. Flammable materials, including the fuel and fuel system, the oil and oil system
b. Thermally sensitive components, including brake lines, composite materials, and
batteries"
126,IC.7.2,Exhaust Outlet
127,IC.7.2.1,"The exhaust must be routed to prevent the driver from fumes at any speed considering the
draft of the vehicle"
128,IC.7.2.2,"The Exhaust Outlet(s) must be:
a. No more than 45 cm aft of the centerline of the rear axle
b. No more than 60 cm above the ground."
129,IC.7.2.3,"Any exhaust components (headers, mufflers, etc.) that protrude from the side of the body in
front of the Main Hoop must be shielded to prevent contact by persons approaching the
vehicle or a driver exiting the vehicle"
130,IC.7.2.4,"Fibrous/absorbent material, (such as header wrap), must not be used on the outside of an
exhaust manifold or exhaust system."
131,IC.7.3,Variable Exhaust
132,IC.7.3.1,Adjustable tuning or throttling devices are permitted.
133,IC.7.3.2,Manually adjustable tuning devices must require tools to change
134,IC.7.3.3,Refer to IN.10.2 for additional requirements during the Noise Test
135,IC.7.4,"Connections to Exhaust
Crankcase breathers that pass through the oil catch tank(s) to exhaust systems, or vacuum
devices that connect directly to the exhaust system, are prohibited."
136,IC.7.5,Noise Level and Testing
137,IC.7.5.1,The vehicle must stay below the permitted sound level at all times IN.10.5
138,IC.7.5.2,"Sound level will be verified during Technical Inspection, refer to IN.10"
139,IC.8,ELECTRICAL
140,IC.8.1,"Starter
Each vehicle must start the engine using an onboard starter at all times"
141,IC.8.2,"Batteries
Refer to T.9.2 for specific requirements of Low Voltage batteries"
142,IC.8.3,Voltage Limit
143,IC.8.3.1,Voltage between any two electrical connections must be Low Voltage T.9.1.2
144,IC.8.3.2,"This voltage limit does not apply to the following systems:
• High Voltage systems for ignition
• High Voltage systems for injectors
• Voltages internal to OEM charging systems designed for <60 V DC output."
145,IC.9,SHUTDOWN SYSTEM
146,IC.9.1,Shutdown Circuit
147,IC.9.1.1,"The Shutdown Circuit consists of the following components:
a. Primary Master Switch IC.9.3
b. Cockpit Main Switch IC.9.4
c. (ETC Only) Brake System Plausibility Device (BSPD) IC.4.8
d. Brake Overtravel Switch (BOTS) T.3.3
e. Inertia Switch (if used) T.9.4"
148,IC.9.1.2,"The team must be able to demonstrate all features and functions of the Shutdown Circuit and
components at Technical Inspection"
149,IC.9.1.3,"The international electrical symbol (a red spark on a white edged blue triangle) must be near
OFF
both the Primary Master Switch and Cockpit Main Switch."
150,IC.9.2,Shutdown Circuit Operation
151,IC.9.2.1,"The Shutdown Circuit must Open upon operation of, or detection from any of the components
listed in IC.9.1.1"
152,IC.9.2.2,"When the Shutdown Circuit Opens, it must:
a. Stop the engine
b. Disconnect power to the:
• Fuel Pump(s)
• Ignition
• (ETC only) Electronic Throttle IC.4.1.1"
153,IC.9.3,Primary Master Switch
154,IC.9.3.1,Configuration and Location - The Primary Master Switch must meet T.9.3
155,IC.9.3.2,"Function - the Primary Master Switch must:
a. Disconnect power to ALL electrical circuits, including the battery, alternator, lights, fuel
pump(s), ignition and electrical controls.
All battery current must flow through this switch
b. Be direct acting, not act through a relay or logic."
156,IC.9.4,Cockpit Main Switch
157,IC.9.4.1,"Configuration - The Cockpit Main Switch must:
a. Be a push-pull or push-rotate emergency switch (pushing the button is the OFF position)
b. Have a diameter of 24 mm minimum"
158,IC.9.4.2,"Location – The Cockpit Main Switch must be:
a. In easy reach of the driver when in a normal driving position wearing Harness
b. Adjacent to the Steering Wheel
c. Unobstructed by the Steering Wheel or any other part of the vehicle"
159,IC.9.4.3,Function - the Cockpit Main Switch may act through a relay
