,rule_num,rule_text
49,S.3.7.5,A separate Cost Addendum may be submitted for every competition a vehicle attends.
50,S.3.7.6,"Changes to the Cost Report in the Cost Addendum will incur additional cost:
a. Added items will be cost at 125% of the table cost: + (1.25 x Cost)
b. Removed items will be credited 75% of the table cost: - (0.75 x Cost)"
51,S.3.8,Cost Tables
52,S.3.8.1,All costs in the Cost Report must come from the standardized Cost Tables.
53,S.3.8.2,"If a team wishes to use any Parts, Processes or Materials not included in the tables, an Add
Item Request must be submitted. See S.3.10"
54,S.3.9,Make versus Buy
55,S.3.9.1,"Every part may be classified as Made or Bought.
Refer to the Formula SAE Cost Event Supplement for additional information"
56,S.3.9.2,"If a team genuinely Makes a part listed on the table as a Bought part, they may alternatively
cost it as a Made part only if a place holder entry is listed in the tables enabling them to do so."
57,S.3.9.3,"Any part which is normally purchased that is optionally shown as a Made part must have
supporting documentation submitted to prove team manufacture."
58,S.3.9.4,Teams costing Bought parts as Made parts will be penalized.
59,S.3.10,Add Item Request
60,S.3.10.1,"An Add Item Request must be submitted on the FSAE Online Website to add items to the Cost
Tables for individual team requirements."
61,S.3.10.2,"After review, the item may be added to the Cost Table with an appropriate cost. It will then
be available to all teams."
62,S.3.11,Public Cost Reports
63,S.3.11.1,The competition organizers may publish all or part of the submitted Cost Reports.
64,S.3.11.2,"Cost Reports for a given competition season will not be published before the end of the
calendar year. Support materials, such as technical drawings, will not be released."
65,S.3.12,Cost Report Penalties Process
66,S.3.12.1,"The following procedure will be used in determining penalties:
a. Penalty A will be calculated using procedure Penalty Method A - Fixed Point Deductions
b. Penalty B will be calculated using procedure Penalty Method B – Adjusted Cost
Additions
c. The higher of the two penalties will be applied against the Cost Event score
• Penalty A expressed in points will be deducted from the Cost Event score
• Penalty B expressed in dollars will be added to the Adjusted Cost of the vehicle"
67,S.3.12.2,"Any error that results in a team over reporting a cost in their Cost Report will not be further
penalized."
68,S.3.12.3,"Any instance where a team’s score benefits by an intentional or unintentional error on the
part of the students will be corrected on a case by case basis."
69,S.3.12.4,"Penalty Method A - Fixed Point Deductions
a. From the Bill of Material, the Cost Judges will determine if all Parts and Processes have
been included in the analysis.
b. In the case of any omission or error a penalty proportional to the BOM level of the error
will be imposed:
• Missing/inaccurate Material, Process, Fastener 1 point
• Missing/inaccurate Part 3 point
• Missing/inaccurate Assembly 5 point
c. Each of the penalties listed above supersedes the previous penalty.
Example - if a point deduction is given for a missing Assembly, the missing Parts are ignored.
d. Differences other than those listed above will be deducted at the discretion of the Cost
Judges."
70,S.3.12.5,"Penalty Method B – Adjusted Cost Additions
a. The table cost for the missing or incomplete items will be calculated from the standard
Cost Tables.
b. The penalty will be a value equal to twice the difference between the team cost and the
correct cost for all items in error.
Penalty = 2 x (Table Cost – Team Reported Cost)
The table costs of all items in error are included in the calculation. A missing Assembly would
include the price of all Parts, Materials, Processes and Fasteners making up the Assembly."
71,S.3.13,Event Day and Discussion
72,S.3.13.1,The team must present their vehicle at the designated time
73,S.3.13.2,"The vehicle must have the tires and wheels declared as Dry Tires per V.4.3.1 installed during
Cost Event judging"
74,S.3.13.3,Teams may be required to bring a copy of the Cost Report and Cost Addendum to Cost Judging
75,S.3.13.4,"The Cost Judges will:
a. Review whether the Cost Report accurately reflects the vehicle as presented
b. Review the manufacturing feasibility of the vehicle
c. Assess supporting documentation based on its quality, accuracy and thoroughness
d. Apply penalties for missing or incorrect information in the Cost Report compared to the
vehicle presented at inspection"
76,S.3.14,Cost Audit
77,S.3.14.1,"Teams may be selected for additional review to verify all processes and materials on their
vehicle are in the Cost Report"
78,S.3.14.2,Adjustments from the Cost Audit will be included in the final scores
79,S.3.15,"Cost Scenario
The Cost Scenario will be provided prior to the competition on the FSAE Online website
The Cost Scenario will include detailed information about the conduct, scope, and conditions
of the Cost Scenario"
80,S.3.16,Cost Event Scoring
81,S.3.16.1,Cost Event scoring will be provided on the FSAE Online website or with the Cost Scenario
82,S.3.16.2,The Cost Event is worth 100 points
83,S.3.16.3,"Cost Event Scores may be awarded in areas including, but not limited to:
• Price Score
• Discussion Score
• Scenario Score"
84,S.3.16.4,"Penalty points may be subtracted from the Cost Score, with no limit."
85,S.3.16.5,"Cost Event scoring may include normalizing the scores of different judging teams and scaling
the results."
86,S.4,DESIGN EVENT
87,S.4.1,Design Event Objective
88,S.4.1.1,"The Design Event evaluates the engineering effort that went into the vehicle and how the
engineering meets the intent of the market both in terms of vehicle performance and overall
value."
89,S.4.1.2,"The team and vehicle that illustrate the best use of engineering to meet the design goals, a
cost effective high performance vehicle, and the best understanding of the design by the team
members will win the Design Event."
90,S.4.1.3,"Components and systems that are incorporated into the design as finished items are not
evaluated as a student designed unit, but are assessed on the team’s selection and application
of that unit."
91,S.4.2,Design Documents
92,S.4.2.1,"Teams must submit the Design Briefing, Design Spec Sheet and Vehicle Drawings"
93,S.4.2.2,"These Design Documents will be used for:
• Design Judge reviews prior to the Design Event
• Sorting teams into appropriate design groups based on the quality of their review."
94,S.4.2.3,"Penalties for Late Submission of all or any one of the Design Documents will be imposed as
given in section DR - Document Requirements"
95,S.4.2.4,"Teams that submit one or more Design Documents which do not represent a serious effort to
comply with the requirements may be excluded from the Design Event or be awarded a lower
score."
96,S.4.3,Design Briefing
97,S.4.3.1,The Design Briefing must use the template from the FSAE Online website.
98,S.4.3.2,"Refer to the Design Briefing template for:
a. Specific content requirements, areas and details
b. Maximum slides that may be used per topic"
99,S.4.3.3,Submit the Design Briefing as given in section DR - Document Requirements
100,S.4.4,Vehicle Drawings
101,S.4.4.1,"The Vehicle Drawings must meet the following:
a. Three view line drawings showing the vehicle, from the front, top, and side
b. Each drawing must appear on a separate page
c. May be manually or computer generated"
102,S.4.4.2,Submit the Vehicle Drawings as given in section DR - Document Requirements
103,S.4.5,"Design Spec Sheet
Use the format provided and submit the Design Spec Sheet as given in section DR - Document
Requirements
The Design Judges realize that final design refinements and vehicle development may cause
the submitted values to differ from those of the completed vehicle. For specifications that are
subject to tuning, an anticipated range of values may be appropriate."
104,S.4.6,Vehicle Condition
105,S.4.6.1,Inspection Approval IN.13.1.1 is not required prior to Design judging.
106,S.4.6.2,"Vehicles must be presented for Design judging in finished condition, fully assembled, complete
and ready to run.
a. The judges will not evaluate any vehicle that is presented at the Design event in what
they consider to be an unfinished state.
b. Point penalties may be assessed for vehicles with obvious preparation issues"
107,S.4.7,Support Material
108,S.4.7.1,"Teams may bring to Design Judging any photographs, drawings, plans, charts, example
components or other materials that they believe are needed to support the presentation of
the vehicle and the discussion of their development process."
109,S.4.7.2,The available space in the Design Event judging area may be limited.
110,S.4.8,"Judging Sequence
Design judging may be conducted in one or more phases.
Typical Design judging includes a first round review of all teams, then additional review of
selected teams."
111,S.4.9,Judging Criteria
112,S.4.9.1,"The Design Judges will:
a. Evaluate the engineering effort based upon the team’s Design Documents, discussion
with the team, and an inspection of the vehicle
b. Inspect the vehicle to determine if the design concepts are adequate and appropriate for
the application (relative to the objectives stated in the rules).
c. Deduct points if the team cannot adequately explain the engineering and construction of
the vehicle"
113,S.4.9.2,The Design Judges may assign a portion of the Design Event points to the Design Documents
114,S.4.9.3,Design Judging Score Sheets are available at the FSAE Online website.
115,S.4.10,Design Event Scoring
116,S.4.10.1,"Scoring may range from 0 to 150 points, at the discretion of the Chief Design Judge"
117,S.4.10.2,Penalty points may be subtracted from the Design score
118,S.4.10.3,"Vehicles that are excluded from Design judging or refused judging will receive zero points for
Design, and may receive penalty points."
