question,ground_truth,image,dimension_type,explanation
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. In the CAD views, the front hoop is highlighted in pink. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering drawing have units of mm. Based on the engineering drawing, does our design comply with rule F.5.7.5 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. First provide an explanation for your answer (begin it with 'Explanation:'). Then provide just a yes/no answer (begin it with 'Answer:') that summarizes your response.",no,F.5.7.5b.jpg,direct,The distance from the front most face of the steering wheel to rear most face of front hoop is less than the rules required minimum.
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. In the CAD views, the front hoop is highlighted in pink. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering drawing have units of mm. Based on the engineering drawing, does our design comply with rule F.5.7.5 specified in the FSAE rule document? To answer the question, use the scale bar shown at the top of the engineering drawing to compute necessary dimensions in the drawing.  First provide an explanation for your answer (begin it with 'Explanation:'). Then provide just a yes/no answer (begin it with 'Answer:') that summarizes your response.",yes,F.5.7.5c.jpg,scale,
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. In the CAD views, the front hoop is highlighted in pink and the upper side impact structure is highlighted in blue. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering drawing have units of mm. Based on the engineering drawing, does our design comply with rule F.5.7.6 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. First provide an explanation for your answer (begin it with 'Explanation:'). Then provide just a yes/no answer (begin it with 'Answer:') that summarizes your response.",yes,F.5.7.6a.jpg,direct,The angle of the front hoop is less than the rules required maximum.
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. In the CAD views, the front hoop is highlighted in pink and the upper side impact structure is highlighted in blue. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering drawing have units of mm. Based on the engineering drawing, does our design comply with rule F.5.7.6 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. First provide an explanation for your answer (begin it with 'Explanation:'). Then provide just a yes/no answer (begin it with 'Answer:') that summarizes your response.",no,F.5.7.6b.jpg,direct,The angle of the front hoop is greater than the rules required maximum.
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. In the CAD views, the front hoop is highlighted in pink and the upper side impact structure is highlighted in blue. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering drawing have units of mm. Based on the engineering drawing, does our design comply with rule F.5.7.6 specified in the FSAE rule document? To answer the question, use the scale bar shown at the top of the engineering drawing to compute necessary dimensions in the drawing.  First provide an explanation for your answer (begin it with 'Explanation:'). Then provide just a yes/no answer (begin it with 'Answer:') that summarizes your response.",yes,F.5.7.6c.jpg,scale,
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. In the CAD views, the main hoop is highlighted in pink and the main hoop braces are highlighted in blue. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering drawing have units of mm. Based on the engineering drawing, does our design comply with rule F.5.9.4 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. First provide an explanation for your answer (begin it with 'Explanation:'). Then provide just a yes/no answer (begin it with 'Answer:') that summarizes your response.",yes,F.5.9.4a.jpg,direct,"According to rule F.5.9.4, the main hoop braces must be attached 160 mm or less below the top most surface of the main hoop. The image shows that the main hoop braces is attached 122.54 + 12.7 = 135.24 mm below the top surface of the main hoop. Therefore, this design complies with the rule."
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. In the CAD views, the main hoop is highlighted in pink and the main hoop braces are highlighted in blue. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering drawing have units of mm. Based on the engineering drawing, does our design comply with rule F.5.9.4 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. First provide an explanation for your answer (begin it with 'Explanation:'). Then provide just a yes/no answer (begin it with 'Answer:') that summarizes your response.",no,F.5.9.4b.jpg,direct,"According to rule F.5.9.4, the main hoop braces must be attached 160 mm or less below the top most surface of the main hoop. The image shows that the main hoop braces is attached 161.06 + 12.7 = 173.76 mm below the top surface of the main hoop. Therefore, this design violates the rule."
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. In the CAD views, the main hoop is highlighted in pink and the main hoop braces are highlighted in blue. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering drawing have units of mm. Based on the engineering drawing, does our design comply with rule F.5.9.4 specified in the FSAE rule document? To answer the question, use the scale bar shown at the top of the engineering drawing to compute necessary dimensions in the drawing.  First provide an explanation for your answer (begin it with 'Explanation:'). Then provide just a yes/no answer (begin it with 'Answer:') that summarizes your response.",yes,F.5.9.4c.jpg,scale,
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. In the CAD views, the main hoop is highlighted in pink and the main hoop braces are highlighted in blue. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering drawing have units of mm. Based on the engineering drawing, does our design comply with rule F.5.9.5 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. First provide an explanation for your answer (begin it with 'Explanation:'). Then provide just a yes/no answer (begin it with 'Answer:') that summarizes your response.",yes,F.5.9.5a.jpg,direct,"F.5.9 says: The included angle formed by the Main Hoop and the Main Hoop Braces must be 30° or more, and this image shows an angle of 37 degrees."
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. In the CAD views, the main hoop is highlighted in pink and the main hoop braces are highlighted in blue. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering drawing have units of mm. Based on the engineering drawing, does our design comply with rule F.5.9.5 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. First provide an explanation for your answer (begin it with 'Explanation:'). Then provide just a yes/no answer (begin it with 'Answer:') that summarizes your response.",no,F.5.9.5b.jpg,direct,"F.5.9 says: The included angle formed by the Main Hoop and the Main Hoop Braces must be 30° or more, and this image shows an angle of 28.76 degrees."
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. In the CAD views, the main hoop is highlighted in pink and the main hoop braces are highlighted in blue. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering drawing have units of mm. Based on the engineering drawing, does our design comply with rule F.5.9.5 specified in the FSAE rule document? To answer the question, use the scale bar shown at the top of the engineering drawing to compute necessary dimensions in the drawing.  First provide an explanation for your answer (begin it with 'Explanation:'). Then provide just a yes/no answer (begin it with 'Answer:') that summarizes your response.",yes,F.5.9.5c.jpg,scale,
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. In the CAD views, the front hoop is highlighted in pink and the front hoop braces are highlighted in blue. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering drawing have units of mm. Based on the engineering drawing, does our design comply with rule F.6.3.4 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. First provide an explanation for your answer (begin it with 'Explanation:'). Then provide just a yes/no answer (begin it with 'Answer:') that summarizes your response.",no,F.6.3.4b.jpg,direct,F.6.3.4 says the front hoop braces can't be more than 50mm from the top of the front hoop. The drawing shows the front hoop braces 55mm from the top of the front hoop.
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. In the CAD views, the front hoop is highlighted in pink and the front hoop braces are highlighted in blue. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering drawing have units of mm. Based on the engineering drawing, does our design comply with rule F.6.3.4 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. First provide an explanation for your answer (begin it with 'Explanation:'). Then provide just a yes/no answer (begin it with 'Answer:') that summarizes your response.",yes,F.6.3.4a.jpg,direct,F.6.3.4 says the front hoop braces can't be more than 50mm from the top of the front hoop. The drawing shows the front hoop braces 28.8mm from the top of the front hoop.
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. In the CAD views, the front hoop is highlighted in pink and the front hoop braces are highlighted in blue. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering drawing have units of mm. Based on the engineering drawing, does our design comply with rule F.6.3.4 specified in the FSAE rule document? To answer the question, use the scale bar shown at the top of the engineering drawing to compute necessary dimensions in the drawing.  First provide an explanation for your answer (begin it with 'Explanation:'). Then provide just a yes/no answer (begin it with 'Answer:') that summarizes your response.",yes,F.6.3.4c.jpg,scale,
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. In the CAD views, the main hoop is highlighted in pink. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering drawing have units of mm. The main hoop is made of a steel tube. Based on the engineering drawing, does our design comply with rule F.3.2.1g (which references F.3.4.1) specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. First provide an explanation for your answer (begin it with 'Explanation:'). Then provide just a yes/no answer (begin it with 'Answer:') that summarizes your response.",yes,F.3.2.1g (which references F.3.4.1)a.jpg,direct,F.3.2.1g says the main hoop must meet size A requirements - 25mm outer diameter. The drawing shows the required 25mm outer diameter.
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. In the CAD views, the main hoop is highlighted in pink. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering drawing have units of mm. The main hoop is made of a steel tube. Based on the engineering drawing, does our design comply with rule F.3.2.1g (which references F.3.4.1) specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. First provide an explanation for your answer (begin it with 'Explanation:'). Then provide just a yes/no answer (begin it with 'Answer:') that summarizes your response.",no,F.3.2.1g (which references F.3.4.1)b.jpg,direct,F.3.2.1g says the main hoop must meet size A requirements - 25mm outer diameter. The drawing shows the outer diameter of the main hoop is only 24.3mm
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. In the CAD views, the main hoop is highlighted in pink. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering drawing have units of mm. The main hoop is made of a steel tube. Based on the engineering drawing, does our design comply with rule F.3.2.1g (which references F.3.4.1) specified in the FSAE rule document? To answer the question, use the scale bar shown at the top of the engineering drawing to compute necessary dimensions in the drawing.  First provide an explanation for your answer (begin it with 'Explanation:'). Then provide just a yes/no answer (begin it with 'Answer:') that summarizes your response.",yes,F.3.2.1g (which references F.3.4.1)c.jpg,scale,
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. In the CAD views, the upper side impact member is highlighted in blue and the lower side impact member is highlighted in pink. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering drawing have units of mm. Based on the engineering drawing, does our design comply with rule F.6.4.4b specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. First provide an explanation for your answer (begin it with 'Explanation:'). Then provide just a yes/no answer (begin it with 'Answer:') that summarizes your response.",yes,F.6.4.4ba.jpg,direct,F.6.4.4b says the upper side impact member has to be more than 240mm above and less than 320mm above the low side impact member. The drawing shows the upper side impact member between 277.15mm and 309.74mm above the low side impact member.
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. In the CAD views, the upper side impact member is highlighted in blue and the lower side impact member is highlighted in pink. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering drawing have units of mm. Based on the engineering drawing, does our design comply with rule F.6.4.4b specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. First provide an explanation for your answer (begin it with 'Explanation:'). Then provide just a yes/no answer (begin it with 'Answer:') that summarizes your response.",no,F.6.4.4bb.jpg,direct,F.6.4.4b says the upper side impact member has to be more than 240mm above and less than 320mm above the low side impact member. The drawing shows the lowest point of the upper side impact member is only 231.56mm above the low side impact member.
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. In the CAD views, the upper side impact member is highlighted in blue and the lower side impact member is highlighted in pink. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering drawing have units of mm. Based on the engineering drawing, does our design comply with rule F.6.4.4b specified in the FSAE rule document? To answer the question, use the scale bar shown at the top of the engineering drawing to compute necessary dimensions in the drawing.  First provide an explanation for your answer (begin it with 'Explanation:'). Then provide just a yes/no answer (begin it with 'Answer:') that summarizes your response.",yes,F.6.4.4bc.jpg,scale,
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. In the CAD views, the main hoop braces are highlighted in pink. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering drawing have units of mm. The main hoop bracing is made of steel tubes. Based on the engineering drawing, does our design comply with rule F.3.2.1h (which references F.3.4.1) specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. First provide an explanation for your answer (begin it with 'Explanation:'). Then provide just a yes/no answer (begin it with 'Answer:') that summarizes your response.",yes,F.3.2.1h (which references F.3.4.1)a.jpg,direct,F.3.2.1.h says the main hoop bracing must be a size B tube - 25mm minimum diameter. The drawing shows the main hoop bracing has a diameter of 25.4mm.
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. In the CAD views, the main hoop braces are highlighted in pink. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering drawing have units of mm. The main hoop bracing is made of steel tubes. Based on the engineering drawing, does our design comply with rule F.3.2.1h (which references F.3.4.1) specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. First provide an explanation for your answer (begin it with 'Explanation:'). Then provide just a yes/no answer (begin it with 'Answer:') that summarizes your response.",no,F.3.2.1h (which references F.3.4.1)b.jpg,direct,F.3.2.1.h says the main hoop bracing must be a size B tube - 25mm minimum diameter. The drawing shows the main hoop bracing has a diameter of only 23.43mm.
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. In the CAD views, the main hoop braces are highlighted in pink. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering drawing have units of mm. The main hoop bracing is made of steel tubes. Based on the engineering drawing, does our design comply with rule F.3.2.1h (which references F.3.4.1) specified in the FSAE rule document? To answer the question, use the scale bar shown at the top of the engineering drawing to compute necessary dimensions in the drawing.  First provide an explanation for your answer (begin it with 'Explanation:'). Then provide just a yes/no answer (begin it with 'Answer:') that summarizes your response.",yes,F.3.2.1h (which references F.3.4.1)c.jpg,scale,
